k	x	y	Phi(x, y)
0	1.0000000000	1.0000000000	4.0000000000e+00
1	1.5000000000	1.5000000000	2.5000000000e-01
2	1.2500000000	1.5312500000	8.7708473206e-02
3	1.3750000000	1.5000000000	3.5400390625e-02
4	1.3437500000	1.4687500000	1.7002105713e-02
5	1.3750000000	1.4375000000	5.7525634766e-03
6	1.4375000000	1.4062500000	2.9077529907e-03
7	1.4062500000	1.4218750000	2.4467706680e-04
8	1.4101562500	1.4140625000	1.5654996969e-04
9	1.4140625000	1.4145507812	5.1579633009e-07
10	1.4139404297	1.4143066406	3.9338244151e-07
11	1.4140625000	1.4143371582	8.1466498798e-08
12	1.4141235352	1.4143066406	3.3602372898e-08
13	1.4141845703	1.4142456055	3.7997930497e-09
14	1.4141921997	1.4142150879	3.6719171717e-09
15	1.4141998291	1.4142303467	1.0058012116e-09
16	1.4141998291	1.4142227173	6.9155289658e-10
17	1.4142007828	1.4142227173	5.8622436984e-10
18	1.4142036438	1.4142217636	3.5191993608e-10
19	1.4142084122	1.4142189026	1.1033775490e-10
20	1.4142169952	1.4142122269	5.7928905230e-11
21	1.4142160416	1.4142112732	2.3026216601e-11
22	1.4142150879	1.4142122269	8.4742935522e-12
23	1.4142131805	1.4142141342	1.1983320276e-12
